rating,num_reviews,name,tags,directions,ingredients
,,Ginger Ale (Substitute),,Pour lemon-lime soda into a glass with ice and add the splash of cola.,"[(None, u'  Lemon-Lime Soda', None), (None, u'Splash of  Cola', None)]"
,,Jamaican Delight,,"Pour dark rum, Tia Maria and sweet and sour mix into a glass with ice. Fill it with pineapple juice.","[(u'1', u'Rum (Dark)', 'oz.'), (u'1', u'Apricot Brandy', 'oz.'), (u'1/2', u'Sweet & Sour Mix', 'oz.'), (None, u'  Pineapple Juice', None)]"
,,Lady Madonna,,Pour all ingredients into a shaker with ice. Shake and strain into a chilled martini glass.,"[(u'1 1/2', u'Dubonnet', 'oz.'), (u'1', u'Vermouth (Dry)', 'oz.')]"
,,Key Lime Pie,,Rub the rim of a glass with a lime wedge and dip it into graham cracker crumbs. Blend all ingredients and pour into the glass.,"[(u'2', u'Rum (Light)', 'oz.'), (u'1', u""Lime Juice (Rose's\xae)"", 'oz.'), (None, u'2 Scoops of  Vanilla Ice Cream', None)]"
,,Lady Finger,,Pour all ingredients into a shaker with ice. Shake and strain into a chilled martini glass.,"[(u'1', u'Gin', 'oz.'), (u'1/2', u'Kirschwasser', 'oz.'), (u'1', u'Cherry Brandy', 'oz.')]"
,,Key Lime Shooter,,Pour all ingredients into a shaker with ice. Shake and strain into a shot glass.,"[(u'1', u'Licor 43\xae', 'oz.'), (u'1/2', u'Rum (Light)', 'oz.'), (u'1', u'Sweet & Sour Mix', 'oz.'), (None, u""Splash of  Lime Juice (Rose's\xae)"", None), (None, u'Splash of  Cream / Half & Half', None)]"
,,Lady Evelyn,,Pour all ingredients into a shaker with ice. Shake and strain into a chilled martini glass.,"[(u'1 1/2', u'Vermouth (Dry)', 'oz.'), (u'1', u'Gin', 'oz.'), (u'1/4', u'Cointreau\xae Orange Liqueur', 'oz.')]"
,,Licorice Stick,,Pour all ingredients into a shaker with ice. Shake and strain into a chilled martini glass.,"[(u'1', u'Vodka', 'oz.'), (u'1', u'Sambuca (Black)', 'oz.'), (u'1/2', u'Cr\xe8me de Cacao (White)', 'oz.')]"
,,Licorice Mist,,Combine ingredients in blender with ice. Blend until smooth. Pour into a parfait glass.,"[(u'1 1/4', u'Sambuca', 'oz.'), (u'1/2', u'Coconut Liqueur', 'oz.'), (u'2', u'Cream / Half & Half', 'oz.')]"
,,Torridora Cocktail,,Pour all ingredients except 151-proof rum into a shaker with ice. Shake and strain into a chilled martini glass. Add the float of 151-proof rum on top.,"[(u'1 1/2', u'Rum (Light)', 'oz.'), (u'1/2', u'Coffee Brandy', 'oz.'), (None, u'Splash of  Cream / Half & Half', None), (None, u'Float of  Rum (151-Proof)', None)]"
,,Toreador,,Pour all ingredients into a shaker with ice. Shake and strain into a chilled martini glass.,"[(u'1 1/2', u'Tequila', 'oz.'), (u'1/2', u'Cr\xe8me de Cacao (White)', 'oz.'), (None, u'Splash of  Cream / Half & Half', None)]"
,,Vodka And Cranberry,,Pour vodka into a glass with ice. Fill it with cranberry juice.,"[(u'2', u'Vodka', 'oz.'), (None, u'  Cranberry Juice', None)]"
,,Malibu Sea Breeze,,Pour Malibu into a glass with ice. Fill it with equal parts of grapefruit juice and cranberry juice.,"[(u'2', u'Coconut Rum', 'oz.'), (None, u'  Grapefruit Juice', None), (None, u'  Cranberry Juice', None)]"
,,Whiskey Cooler,,Pour whiskey into a glass with ice. Fill it with club soda or ginger ale. Add sugar and stir.,"[(u'2', u'Whiskey', 'oz.'), (u'1/2', u'Sugar', 'tsp.'), (None, u'  Club Soda / Carbonated Water', None)]"
,,Whiskey Daisy,,Pour all ingredients into a shaker with ice. Shake and strain into an old-fashioned glass with ice.,"[(u'2', u'Whiskey', 'oz.'), (u'1/2', u'Lemon Juice', 'oz.'), (None, u'Splash of  Grenadine', None), (u'1/2', u'Sugar', 'tsp.')]"
,,White Bat,,"Pour light rum, coffee liqueur and milk into a glass with ice. Fill it with cola.","[(u'1 1/2', u'Rum (Light)', 'oz.'), (u'1/2', u'Coffee Liqueur', 'oz.'), (u'1 1/2', u'Milk', 'oz.'), (None, u'  Cola', None)]"
,,Waldorf,,Pour all ingredients into a shaker with ice. Shake and strain into a chilled martini glass.,"[(u'2', u'Bourbon', 'oz.'), (u'3/4', u'Vermouth (Sweet)', 'oz.'), (u'1/2', u'Pernod\xae', 'oz.'), (None, u'Dash of  Bitters', None)]"
,,Zaza,,Pour ingredients into a shaker with ice. Stir to chill the contents. Strain into a chilled martini glass.,"[(u'1 1/2', u'Gin', 'oz.'), (u'1 1/2', u'Dubonnet', 'oz.'), (None, u'Splash of  Orange Juice', None)]"
,,Zultry Zoë,,Pour tequila and Galliano into an Irish coffee mug with crushed ice. Fill it with Mexican hot chocolate.,"[(u'2', u'Tequila', 'oz.'), (u'1/2', u'Galliano\xae Liqueur', 'oz.'), (None, u'  Hot Chocolate', None)]"
,,Zoom,,Pour all ingredients into a shaker with ice. Shake and strain into a chilled martini glass.,"[(u'1 1/2', u'Brandy', 'oz.'), (u'1/2', u'Cream / Half & Half', 'oz.'), (None, u'1 Tbsp.  Honey', None)]"
,,Zipperhead,,Pour vodka and raspberry liqueur into a glass with ice. Fill it with lemon-lime soda or soda water. Do not stir or shake.,"[(u'1', u'Vodka', 'oz.'), (u'1', u'Raspberry Liqueur', 'oz.'), (None, u'  Lemon-Lime Soda', None)]"
,,Zorbatini,,Pour all ingredients into a shaker with ice. Shake and strain into a chilled martini glass.,"[(u'1 1/2', u'Vodka', 'oz.'), (u'1/2', u'Ouzo', 'oz.')]"
,,Zocolo,,"Pour dark rum and tequila into a glass with ice. Fill it with equal parts of pineapple juice, grapefruit juice and club soda.","[(u'1', u'Rum (Dark)', 'oz.'), (u'1/2', u'Tequila', 'oz.'), (None, u'  Pineapple Juice', None), (None, u'  Grapefruit Juice', None), (None, u'  Club Soda / Carbonated Water', None)]"
,,Zombie #2,,"Blend all ingredients, except the 151 proof rum, with ice. Pour into a glass. Float the 151 proof rum on top.","[(u'1', u'Rum (Light)', 'oz.'), (u'1', u'Rum (A\xf1ejo)', 'oz.'), (u'1', u'Rum (Dark)', 'oz.'), (u'1/2', u'Apricot Brandy', 'oz.'), (u'2', u'Orange Juice', 'oz.'), (u'1', u'Pineapple Juice', 'oz.'), (u'1', u'Lime Juice', 'oz.'), (u'1', u'Sugar', 'tsp.'), (None, u'Float of  Rum (151-Proof)', None)]"
,,Zombie,,"Pour the light rum, dark rum and triple sec into a glass with ice. Fill it with orange juice and sweet and sour. Add the grenadine and top it off with 151-proof rum.","[(u'1', u'Rum (Light)', 'oz.'), (u'1', u'Rum (Dark)', 'oz.'), (u'1/2', u'Triple Sec', 'oz.'), (u'2', u'Orange Juice', 'oz.'), (u'2', u'Sweet & Sour Mix', 'oz.'), (None, u'Dash of  Grenadine', None), (None, u'Float of  Rum (151-Proof)', None)]"
,,Zipper,,Pour all ingredients into a shaker with ice. Shake and strain into a shot glass.,"[(u'1', u'Tequila', 'oz.'), (u'1', u'Grand Marnier\xae Orange Liqueur', 'oz.'), (u'1/2', u'Cream / Half & Half', 'oz.')]"
,,Yummy Pumpkin Pie Martini,,Pour all ingredients into a shaker with ice. Shake and strain into a chilled martini glass.,"[(u'1', u'Hiram Walker\xae Pumpkin Spice', 'oz.'), (u'1/2', u'Coffee Liqueur', 'oz.'), (u'1/2', u'Butterscotch Schnapps', 'oz.'), (u'1/2', u'Cream / Half & Half', 'oz.')]"
,,Yolanda,,Pour all ingredients into a shaker with ice. Shake and strain into a chilled martini glass.,"[(u'1/2', u'Brandy', 'oz.'), (u'1/2', u'Gin', 'oz.'), (u'1/2', u'Anisette', 'oz.'), (u'1', u'Vermouth (Sweet)', 'oz.'), (None, u'Dash of  Grenadine', None)]"
,,Yellow Bird #3,,Pour all ingredients into a shaker with ice. Shake and strain into a chilled martini glass.,"[(u'1 1/2', u'Rum (Light)', 'oz.'), (u'1/2', u'Galliano\xae Liqueur', 'oz.'), (u'1/2', u'Triple Sec', 'oz.'), (u'1/2', u'Lime Juice', 'oz.')]"
